Value,Time
0,3121170
7,3123163
37,3125163
42,3127286
14,3129168
0,3131171
0,3133161
0,3135181
0,3137321
12,3139173
12,3141170
1,3143175
0,3145170
0,3147309
0,3149176
21,3151178
39,3153178
42,3155168
42,3157274
37,3159180
26,3161171
27,3163163
7,3165166
0,3167284
0,3169173
0,3171166
12,3173164
26,3175179
29,3177265
0,3179172
0,3181165
0,3183173
0,3185169
0,3187257
0,3189170
0,3191181
0,3193166
32,3195162
12,3197266
0,3199180
0,3201168
62,3203162
107,3205162
69,3207284
0,3209171
0,3211169
0,3213165
0,3215175
28,3217259
79,3219169
55,3221168
28,3223175
0,3225171
0,3227273
13,3229171
72,3231178
83,3233166
22,3235173
15,3237353
6,3239184
52,3241167
77,3243167
83,3245169
0,3247374
0,3249175
0,3251169
0,3253162
0,3255180
25,3257268
38,3259173
5,3261169
0,3263179
0,3265169
7,3267262
40,3269175
47,3271179
31,3273166
21,3275165
33,3277265
17,3279181
10,3281160
0,3283164
0,3285164
0,3287279
0,3289170
0,3291168
0,3293163
0,3295178
0,3297262
0,3299174
2,3301177
2,3303174
0,3305168
0,3307261
0,3309169
0,3311175
0,3313163
16,3315165
25,3317262
0,3319183
19,3321170
4,3323166
0,3325166
0,3327272
0,3329175
0,3331166
9,3333166
15,3335188
4,3337397
0,3339173
0,3341166
3,3343172
8,3345169
7,3347312
0,3349166
0,3351183
0,3353164
4,3355176
14,3357263
14,3359188
11,3361172
5,3363165
11,3365162
14,3367281
16,3369188
0,3371170
10,3373165
27,3375173
28,3377266
28,3379172
16,3381167
0,3383174
0,3385168
0,3387262
0,3389173
9,3391178
10,3393166
24,3395166
26,3397257
19,3399179
6,3401171
3,3403162
15,3405162
23,3407282
15,3409173
0,3411164
0,3413163
0,3415180
0,3417260
0,3419178
0,3421166
0,3423176
0,3425165
6,3427259
18,3429172
18,3431180
1,3433167
5,3435170
1,3437246
42,3439184
65,3441173
56,3443175
0,3445165
0,3447358
0,3449178
0,3451169
0,3453160
31,3455177
52,3457262
31,3459171
4,3461167
0,3463177
3,3465170
26,3467247
26,3469173
3,3471174
0,3473163
0,3475164
0,3477263
15,3479187
15,3481173
0,3483161
0,3485165
0,3487279
0,3489171
0,3491165
0,3493163
0,3495177
12,3497250
21,3499172
23,3501166
17,3503176
13,3505165
0,3507253
0,3509168
0,3511178
0,3513164
17,3515163
30,3517269
32,3519181
35,3521165
25,3523155
4,3525162
0,3527251
0,3529170
50,3531168
51,3533164
16,3535183
0,3537320
0,3539178
0,3541167
0,3543177
15,3545167
38,3547303
19,3549179
0,3551194
0,3553165
10,3555165
86,3557255
106,3559182
69,3561167
43,3563163
0,3565167
0,3567262
26,3569171
30,3571163
0,3573158
0,3575177
0,3577248
0,3579170
0,3581167
0,3583173
0,3585166
0,3587268
0,3589174
0,3591184
0,3593161
31,3595165
61,3597262
54,3599179
44,3601165
50,3603159
28,3605161
8,3607265
4,3609170
0,3611179
0,3613165
6,3615175
0,3617264
35,3619169
